type,item,name,count,point,,,
C,E,28,5,50,,,
C,E,29,5,50,,,
C,E,30,5,50,,,
C,E,31,5,50,,,
C,E,32,5,50,,,
C,E,33,5,50,,,
C,E,34,5,50,,,
C,E,35,5,50,,,
C,E,36,5,50,,,
C,E,37,5,50,,,
C,E,38,5,50,,,
C,E,39,5,50,,,
C,E,40,5,50,,,
C,E,41,5,50,,,
C,E,42,5,50,,,
C,E,43,5,50,,,
C,E,44,5,50,,,
C,E,45,5,50,,,
C,E,46,5,50,,,
C,E,47,5,50,,,
C,E,48,5,50,,,
C,E,49,5,50,,,
C,E,50,5,50,,,
C,E,51,5,50,,,
C,E,52,5,50,,,
C,E,53,5,50,,,
C,E,54,5,50,,,
C,E,55,5,50,,,
C,E,56,5,50,,,
C,E,57,5,50,,,
C,E,58,5,50,,,
C,E,59,5,50,,,
C,E,60,5,50,,,
C,E,61,5,50,,,
C,E,62,5,50,,,
C,E,63,5,50,,,
C,E,64,5,50,,,
C,D,01,5,100,,,
C,D,02,5,100,,,
C,D,03,5,100,,,
C,D,04,5,100,,,
C,D,05,5,100,,,
C,D,06,5,100,,,
C,D,07,5,100,,,
C,D,08,5,100,,,
C,D,09,5,100,,,
C,D,10,5,100,,,
C,D,11,5,100,,,
D,F,01,5,100,,,
D,F,02,5,100,,,
D,D,01,5,100,,,
D,D,02,5,100,,,
D,D,03,5,100,,,
D,D,04,5,100,,,
D,D,05,5,100,,,
D,D,06,5,100,,,
D,D,07,5,100,,,
D,D,08,5,100,,,
D,D,09,5,100,,,
D,D,10,5,100,,,
E,D,01,5,100,,,
E,D,02,5,100,,,
E,D,03,5,100,,,
F,D,01,5,100,,,
F,D,02,5,100,,,
F,D,03,5,100,,,
F,D,04,5,100,,,
F,D,05,5,100,,,
G,G,01,5,50,,,
G,G,02,5,100,,,
H,H,01,15,450,,,
H,H,02,15,450,,,
H,H,03,15,450,,,
H,H,04,15,450,,,
H,H,05,15,450,,,
H,H,06,15,450,,,
H,H,07,15,450,,,
H,H,08,15,450,,,
H,H,09,15,450,,,
H,H,10,15,450,,,
H,H,11,15,450,,,
H,H,12,15,450,,,
H,H,13,15,450,,,
H,H,14,15,450,,,
